Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
Guanica Wastewater Treatment Plant	3	Yaguer Street Final	Guanica	PR	653	17.974015	-66.908699	0	2	Public OCA Chemical; Chlorine
BAXTER HEALTHCARE CORPORATION OF PUERTO RICO	3	RD. 3 KM. 142.5 JOBOS WARD	GUAYAMA	PR	785	17.9789	-66.110228	0	3	Public OCA Chemical; Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]; Chlorine
"AES Puerto Rico,LP"	3	Road #3 KM 142	Guayama	PR	785	17.9789	-66.110228	0	2	Public OCA Chemical; Chlorine
Guayama Regional Wastewater Treatment Plant	3	Road PR #-3 Int. 710 Km 2.2	Guayama	PR	784	17.979829	-66.111453	0	2	Public OCA Chemical; Chlorine
Guayama Filtration Plant	3	Mirasol Street Int Angeli Street	Guayama	PR	784	17.979829	-66.111453	0	2	Public OCA Chemical; Chlorine
"Lilly del Caribe, Inc.- Guayama Facility"	3	"State Rd 53, Km. 82 Jobos Exit # 83"	Guayama	PR	784	17.979829	-66.111453	0	2	Public OCA Chemical; Hydrogen chloride (anhydrous) [Hydrochloric acid]
Ponce Regional Wastewater Treatment Plant	3	PR Road #2 Km. 259.3	Ponce	PR	734	17.986721	-66.608975	0	2	Public OCA Chemical; Chlorine
Patillas Filtration Plant	3	Carretera 181 Km 32.8	Patillas	PR	723	18.010671	-66.015222	0	2	Public OCA Chemical; Chlorine
Ponce Nueva Filtration Plant	3	PR-123 Int PR-501 Km0.1	Ponce	PR	728	18.01307	-66.614009	0	2	Public OCA Chemical; Chlorine
Linde Gas PR Inc.  Guayanilla	3	State Rd 127  Km 12 Hm 7	Guayanilla	PR	656	18.02597	-66.787588	0	3	Public OCA Chemical; Hydrogen chloride (anhydrous) [Hydrochloric acid]; Methylamine  [Methanamine]
Yauco Wastewater Treatment Plant	3	Carr 335 Km 1.0	Yauco	PR	698	18.035256	-66.863322	0	2	Public OCA Chemical; Chlorine
Lajas Water Filtration Plant	3	Carr. 116 and 315	Lajas	PR	667	18.045169	-67.057853	0	2	Public OCA Chemical; Chlorine
Ponce Vieja Filtration Plant	3	Alfonso Colan Final Street	Ponce	PR	780	18.046755	-66.55022	1	2	Public OCA Chemical; Chlorine
Coto Laurel-Ponce Filtration Plant	3	State Road 14 Km. 8.3	Ponce	PR	780	18.046755	-66.55022	0	2	Public OCA Chemical; Chlorine
Industrial Chemicals Corporation	3	State Road 127 Km 19.1	Penuelas	PR	624	18.063481	-66.723612	0	3	Public OCA Chemical; Ammonia (anhydrous); Ammonia (conc 20% or greater)
"EcoElectrica, L.P."	3	Road 337 Km 3.7	PeAnuelas	PR	624	18.063481	-66.723612	0	2	Public OCA Chemical; Ammonia (anhydrous)
"COMMONWEALTH OIL REFINING CO., INC."	3	ROAD 127 KM. 17.3	PEA`UELAS	PR	624	18.063481	-66.723612	0	3	Public OCA Chemical; Butane; Propane
ProCaribe	3	"Road 385, KM 5.4"	PeAnuelas	PR	624	18.063481	-66.723612	0	2	Public OCA Chemical; Propane
"Magina, Sabana Grande Filtration Plant"	3	State Road PR-121 Km 4.3	Sabana Grande	PR	637	18.081674	-66.968022	0	2	Public OCA Chemical; Chlorine
Betances Cabo Rojo Filtration Plant	3	Carretera 103 Km. 13.0 Interior	Cabo Rojo	PR	623	18.086721	-67.15178	0	2	Public OCA Chemical; Chlorine
"Farallan, Cayey Filtration Plant"	3	PR-742  End	Cayey	PR	736	18.118281	-66.161033	0	2	Public OCA Chemical; Chlorine
"Toa Vaca, Villalba Filtration Plant"	3	PR-150 km. 5.6	Villalba	PR	766	18.129578	-66.490474	0	2	Public OCA Chemical; Chlorine
La Plata-Aibonito Filtration Plant	3	"Road  PR # 173, Km  1.21 Interior"	Aibonito	PR	705	18.142125	-66.267614	0	2	Public OCA Chemical; Chlorine
Humacao Filtration Plant	3	State Road PR-198 Km. 28.3	Humacao	PR	791	18.154496	-65.820757	0	2	Public OCA Chemical; Chlorine
Humacao Regional Wastewater  Treatment Plant	3	State Road PR-3 Km. 76.7	Humacao	PR	791	18.154496	-65.820757	0	2	Public OCA Chemical; Chlorine
