Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
Meraux Refinery	3	2500 St. Bernard Hwy.	Meraux	LA	70075	29.93042927	-89.9447704	0	3	Public OCA Chemical; Flammable Mixture; Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
Monsanto Company Luling Plant	3	12501 River Road	Luling	LA	70070	29.93165289	-90.35123506	0	5	Public OCA Chemical; Formaldehyde (solution); Isopropylamine [2-Propanamine]; Phosphorus trichloride  [Phosphorous trichloride]; Chlorine
"Air Products, Luling H2"	3	12501B River Road	Luling	LA	70070	29.93165289	-90.35123506	1	2	Public OCA Chemical; Flammable Mixture
Assumption Parish Water Works District #1	2	4633 Highway 1	Napoleonville	LA	70390	29.93433191	-91.01550482	0	2	Public OCA Chemical; Chlorine
"Koch Nitrogen Company, LLC - Taft Terminal"	3	266 LA Hwy 3142	Taft	LA	70057	29.938506	-90.48059	3	2	Public OCA Chemical; Ammonia (anhydrous)
Galata Chemicals - Taft Facility	3	471 Highway 3142	Hahnville	LA	70057	29.938506	-90.48059	0	3	"Public OCA Chemical; Methyl chloride  [Methane, chloro-]; Ammonia (anhydrous)"
Occidental Chemical Taft Plant	3	266 Highway 3142	Hahnville	LA	70057	29.938506	-90.48059	2	2	Public OCA Chemical; Chlorine
St. Charles Operations	3	La. Highways 18 and 3142	Taft	LA	70057	29.938506	-90.48059	2	19	"Public OCA Chemical; Acetaldehyde; Isopentane  [Butane, 2-methyl-]; 1-Butene; 1,3-Butadiene; 2-Butene; Vinyl methyl ether  [Ethene, methoxy-]; Propylene  [1-Propene]; 2-Methylpropene  [1-Propene, 2-methyl-]; Butene; Acrolein  [2-Propenal]; Ethylenediamine  [1,2-Ethanediamine]; Ammonia (anhydrous); Methyl mercaptan  [Methanethiol]; Ethylene oxide  [Oxirane]; Methane; Ethane; Ethylene  [Ethene]; Propane"
"Praxair Distribution - Taft, LA"	3	261 Highway 3142	Hahnville	LA	70057	29.938506	-90.48059	0	3	Public OCA Chemical; Ethylene  [Ethene]; Acetylene  [Ethyne]
Western International Gas - Taft	3	16879 River Rd.	Taft	LA	70057	29.938506	-90.48059	0	2	Public OCA Chemical; Acetylene  [Ethyne]
Arkema Coating Resins- Hahnville	3	355 Highway 3142	Hahnville	LA	70057	29.938506	-90.48059	1	5	"Public OCA Chemical; Propyleneimine  [Aziridine, 2-methyl-]; Acrylonitrile  [2-Propenenitrile]; Vinyl acetate monomer  [Acetic acid ethenyl ester]; Ammonia (conc 20% or greater)"
GLAZIER FOODS HOUSTON TEXAS	3	11303 Antoine Dr.	Houston	TX	77066	29.9401483	-95.48642437	0	2	Public OCA Chemical; Ammonia (anhydrous)
St. Rose Facility	3	"11842 River Rd, Lot 2"	St. Rose	LA	70087	29.94048197	-90.32495043	0	2	Public OCA Chemical; Hydrogen sulfide
"Southern Foods Group, LLC d/b/a Brown's Dairy"	3	1300 Baronne Street	New Orleans	LA	70113	29.94180578	-90.07683331	1	2	Public OCA Chemical; Ammonia (anhydrous)
Lonestar Refinery Services LLC Chalmette	3	1701 Paris Road	Chalmette	LA	70043	29.946707	-89.963929	0	3	Public OCA Chemical; Flammable Mixture; Propane
Arkema Inc. - Crosby Plant	3	18000 Crosby Eastgate Road	Crosby	TX	77532	29.94968475	-95.02004954	0	3	"Public OCA Chemical; 2-Methylpropene  [1-Propene, 2-methyl-]; Sulfur dioxide (anhydrous)"
Americold - Houston	3	16100 East Hardy Road	Houston	TX	77032	29.95177671	-95.38465741	0	2	Public OCA Chemical; Ammonia (anhydrous)
St. Bernard Parish Water Treatment Plant	2	1111 E. St. Bernard Parish Highway	Chalmette	LA	70044	29.951794	-89.959355	0	2	Public OCA Chemical; Chlorine
"Chalmette Refining, L.L.C."	3	500 West Saint Bernard Highway	Chalmette	LA	70044	29.951794	-89.959355	0	17	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Butane; Pentane; 1-Pentene; Propylene  [1-Propene]; 3-Methyl-1-butene; 2-Methyl-1-butene; Hydrogen; Butene; Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]; Ammonia (conc 20% or greater); Methane; Ethane; Ethylene  [Ethene]; Propane"
Carrollton Water Purification Plant	2	8800 S. Claiborne Avenue	New Orleans	LA	70118	29.954635	-90.123422	0	3	Public OCA Chemical; Ammonia (anhydrous); Chlorine
City of Port Neches Wastewater Treatment Plant	2	6499 Georgia	Groves	TX	77619	29.95513037	-93.94264298	0	2	Public OCA Chemical; Chlorine
"Sysco New Orleans, LLC"	3	"1451 River Oaks Road, West"	New Orleans	LA	70123	29.956536	-90.207527	0	2	Public OCA Chemical; Ammonia (anhydrous)
Gustafson's L.L.C.	3	4169 Country Road 15A	Green Cove Springs	FL	32043	29.958919	-81.736288	0	2	Public OCA Chemical; Ammonia (anhydrous)
City of Groves Wilson Water Treatment Plant	2	5020 Wilson	Groves	TX	77619	29.95915687	-93.92185695	0	2	Public OCA Chemical; Chlorine
Spears Road Regional Pumping Station	3	1400 Hugh Road	Houston	TX	77067	29.95997399	-95.4418538	0	2	Public OCA Chemical; Chlorine
East Jefferson Water Treatment Plant	2	3600 Jefferson Hwy	Jefferson	LA	70121	29.96301602	-90.16230484	0	2	Public OCA Chemical; Chlorine
Calabrian Corporation	3	5500 Highway 366	Port Neches	TX	77651	29.96686012	-93.92493243	7	2	Public OCA Chemical; Sulfur dioxide (anhydrous)
Beaumont Chemical Plant	3	IH-10 East at Smith Road	Beaumont	TX	77705	29.9694	-94.1553	0	10	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Isoprene  [1,3-Butadiene, 2-methyl-]; 1-Butene; 1,3-Butadiene; 1,3-Pentadiene; Titanium tetrachloride  [Titanium chloride (TiCl4) (T-4)-]; Chlorine; Propane"
Cray Valley Beaumont TX	3	11455 IH-10	Beaumont	TX	77705	29.9694	-94.1553	0	3	"Public OCA Chemical; Flammable Mixture; Boron trifluoride  [Borane, trifluoro-]"
"WJCMWD, Water Treatment Plant"	2	14026 FM 365	Beaumont	TX	77705	29.9694	-94.1553	0	2	Public OCA Chemical; Chlorine
"BASF, Beaumont Plant"	3	14385 West Port Arthur Road	Beaumont	TX	77705	29.97041165	-94.05221032	0	6	"Public OCA Chemical; Formaldehyde (solution); Dimethylamine  [Methanamine, N-methyl-]; Methyl chloride  [Methane, chloro-]; Ammonia (conc 20% or greater); Chlorine"
Faustina Plant	3	9959 Hwy 18	St. James	LA	70086	29.970697	-90.862644	1	3	Public OCA Chemical; Flammable Mixture; Ammonia (anhydrous)
Westbank Sewage Treatment Plant	3	3501 East Canal Street	New Orleans	LA	70131	29.97099513	-90.09501562	0	2	Public OCA Chemical; Chlorine
Lake Forest Regional Wastewater Treatment Plant	2	14500 Balcrest	Houston	TX	77070	29.972794	-95.577432	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
East Bank Wastewater Treatment Plant	3	6501 Florida Avenue	New Orleans	LA	70117	29.97404705	-89.99988388	0	2	Public OCA Chemical; Chlorine
Pandora Methanol LLC	3	5470 Twin City Highway	Nederland	TX	77627	29.975858	-93.995675	0	3	Public OCA Chemical; Ammonia (anhydrous); Chlorine
City of Nederland Water Treatment Plant	2	1700 Canal Avenue	Nederland	TX	77627	29.98017437	-94.00573877	0	2	Public OCA Chemical; Chlorine
City of Port Neches Water Treatment Plant	2	Park Street & Avenue D	Port Neches	TX	77651	29.980985	-93.961475	0	2	Public OCA Chemical; Chlorine
HUNTSMAN LLC -  PORT NECHES PERFORMANCE PRODUCTS	3	MAIN GATE PNPP SITE	PORT NECHES	TX	77651	29.980985	-93.961475	1	26	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Isoprene  [1,3-Butadiene, 2-methyl-]; Butane; 1-Butene; Propylene oxide  [Oxirane, methyl-]; 1-Pentene; Propylene  [1-Propene]; 3-Methyl-1-butene; 2-Methyl-1-butene; 2-Butene-cis; 2-Butene-trans  [2-Butene, (E)]; 2-Pentene, (Z)-; 2-Pentene, (E)-; Flammable Mixture; Ethylenediamine  [1,2-Ethanediamine]; Sulfur dioxide (anhydrous); Ammonia (anhydrous); Ammonia (conc 20% or greater); Chlorine; Ethylene oxide  [Oxirane]; Methane; Ethane; Ethylene  [Ethene]; Propane"
TPC Group- Port Neches Operations	3	2102 SPUR 136	PORT NECHES	TX	77651	29.980985	-93.961475	0	3	Public OCA Chemical; Flammable Mixture; Chlorine
HUNTSMAN LLC-Port Neches Tank Farm	3	PORT NECHES ATLANTIC ROAD	PORT NECHES	TX	77651	29.980985	-93.961475	0	12	"Public OCA Chemical; Isopentane  [Butane, 2-methyl-]; Butane; 1-Butene; 1,3-Butadiene; Pentane; 2-Methylpropene  [1-Propene, 2-methyl-]; 2,2-Dimethylpropane [Propane, 2,2-dimethyl-]; 2-Butene-cis; 2-Butene-trans  [2-Butene, (E)]; Flammable Mixture; Propane"
Hebert Trunk Station and Hebert Terminal	3	15645 West Port Arthur Rd.	Beaumont	TX	77705	29.98200463	-94.05944469	0	2	Public OCA Chemical; Butane
Abbeville Water Treatment Plant	2	615 Veterans Memorial Highway	Abbeville	LA	70510	29.98455214	-92.14368259	0	2	Public OCA Chemical; Chlorine
St. Charles Parish Waterworks District 1	2	14924 River Road	New Sarpy	LA	70078	29.98685	-90.386567	0	2	Public OCA Chemical; Chlorine
Tete Bayou Waste Water Treatment Plant	3	200 Parker Street	New Iberia	LA	70563	29.99032795	-91.75987399	0	2	Public OCA Chemical; Chlorine
"CVD, Inc"	3	11911 Advanced Materials Drive	New Iberia	LA	70562	29.990518	-91.817232	0	3	"Public OCA Chemical; Methyltrichlorosilane  [Silane, trichloromethyl-]; Hydrogen selenide"
Alvar Street Facility	3	3401 Alvar Street	New Orleans	LA	70126	29.99149371	-90.02923397	0	2	Public OCA Chemical; Ammonia (anhydrous)
ISP Synthetic Elastomers LP	3	1615 Main Street	Port Neches	TX	77651	29.99204252	-93.94754648	0	2	"Public OCA Chemical; 1,3-Butadiene"
Kaplan Water Treatment Plant	2	305 South Lemaire Street	Kaplan	LA	70548	29.99451791	-92.28217181	0	2	Public OCA Chemical; Chlorine
New Orleans Cold Storage	3	3411 S. Jourdan Road	New Orleans	LA	70126	29.99632222	-90.018895	0	2	Public OCA Chemical; Ammonia (anhydrous)
Hackberry Storage	3	101 Clarpha Road	Hackberry	LA	70645	29.99719591	-93.39667161	1	6	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Butane; Flammable Mixture; Ethane; Propane"
Huntsman Petrochemical LLC - Dayton Plant	3	U. S. Highway 90	Dayton	TX	77535	29.99778	-94.91832	0	5	"Public OCA Chemical; Propylene oxide  [Oxirane, methyl-]; Ethylenediamine  [1,2-Ethanediamine]; Hydrochloric acid (conc 37% or greater); Ethylene oxide  [Oxirane]"
ETC Chisholm Gas Processing Plant	3	7101 Race Track Rd.	La Grange	TX	78945	30.00078892	-96.88387128	0	2	Public OCA Chemical; Flammable Mixture
"ChemTreat, Inc. Nederland, Texas"	2	4200 Twin City Highway	Nederland	TX	77627	30.00211133	-94.02178219	0	2	Public OCA Chemical; Cyclohexylamine  [Cyclohexanamine]
Kleinwood Central Wastewater Treatment Plant	3	15905 Squyres Rd	Houston	TX	77379	30.0034671	-95.52272633	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
Therchem	2	6510 East Old Spanish Trail	New Iberia	LA	70560	30.003568	-91.819418	0	2	Public OCA Chemical; Ammonia (anhydrous)
"New Iberia, LA"	2	3714 Old Spanish Trail East	New Iberia	LA	70560	30.003568	-91.819418	0	2	Public OCA Chemical; Ammonia (anhydrous)
Highway 14 Wastewater Treatment Plant	2	800 Sucrose Drive	New Iberia	LA	70560	30.003568	-91.819418	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
"Western International Gas & Cylinders, Inc."	3	7173 Hwy 159 E	Bellville	TX	77418	30.00411733	-96.1816985	0	2	Public OCA Chemical; Acetylene  [Ethyne]
"Matheson Tri-Gas Inc. - Kyle, TX"	3	2550 Kyle Crossing	Kyle	TX	78640	30.0066	-97.80714	0	4	Public OCA Chemical; Hydrogen chloride (anhydrous) [Hydrochloric acid]; Ammonia (anhydrous); Chlorine
Louisiana Water Company - New Iberia Water Plant	3	316 W. Main Street	New Iberia	LA	70560	30.0080339	-91.82016324	0	2	Public OCA Chemical; Chlorine
New Orleans TRANSFLO Terminal	3	6666 Old Gentilly Rd.	New Orleans	LA	70126	30.00915161	-90.0114569	0	4	Public OCA Chemical; Butane; Propylene  [1-Propene]; Propane
"MOTIVA Enterprises, LLC - Norco, LA Refinery"	3	15536 River Road	Norco	LA	70079	30.0105	-90.42066	0	13	"Public OCA Chemical; Ethyl mercaptan [Ethanethiol]; Isobutane  [Propane, 2-methyl]; Butane; 1,3-Butadiene; 1-Pentene; Propylene  [1-Propene]; Hydrogen; Butene; Hydrochloric acid (conc 37% or greater); Hydrogen sulfide; Methane; Propane"
Valero St. Charles Refinery	3	14902 River Road	Norco	LA	70079	30.0105	-90.42066	1	22	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Butane; 1-Butene; 1,3-Butadiene; 2-Butene; Pentane; 1-Pentene; Propylene  [1-Propene]; 3-Methyl-1-butene; 2-Methyl-1-butene; 2-Pentene, (Z)-; 2-Pentene, (E)-; Hydrogen; Butene; Ammonia (conc 20% or greater); Hydrogen sulfide; Methane; Ethane; Ethylene  [Ethene]; Propane"
Norco Chemical Plant - West Site	3	16122 River Road	Norco	LA	70079	30.0105	-90.42066	0	2	Public OCA Chemical; Butene
Norco Chemical Plant - East Site	3	15136 River Road	Norco	LA	70079	30.0105	-90.42066	0	12	"Public OCA Chemical; 1,3-Butadiene; Propylene  [1-Propene]; Hydrogen; Butene; Flammable Mixture; Chlorine; Methane; Ethane; Ethylene  [Ethene]; Acetylene  [Ethyne]; Propane"
St. Charles Operations Cypress Catalyst Plant	3	16122 River Road	Norco	LA	70079	30.0105	-90.42066	1	3	"Public OCA Chemical; Isopentane  [Butane, 2-methyl-]; Titanium tetrachloride  [Titanium chloride (TiCl4) (T-4)-]"
Momentive Specialty Chemicals Inc. Norco Facility	3	16122 River Road	Norco	LA	70079	30.0105	-90.42066	0	6	"Public OCA Chemical; Butane; Propylene  [1-Propene]; Epichlorohydrin  [Oxirane, (chloromethyl)-]; Hydrochloric acid (conc 37% or greater); Chlorine"
"Diamond Green Diesel, LLC"	3	14891 Airline Drive	Norco	LA	70079	30.0105	-90.42066	0	8	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Butane; Pentane; Hydrogen; Methane; Propane"
"Lucite International, Inc"	3	6350 North Twin City Hwy	Nederland	TX	77627	30.01073259	-94.03439027	0	7	"Public OCA Chemical; Trimethylamine [Methanamine, N,N-dimethyl-]; Sulfur dioxide (anhydrous); Ammonia (anhydrous); Hydrocyanic acid; Chlorine; Oleum (Fuming Sulfuric acid)  [Sulfuric acid, mixture with sulfur trioxide]"
Beaumont Facility	3	8110 Erie St.	Beaumont	TX	77705	30.01224961	-94.11850131	0	2	Public OCA Chemical; Flammable Mixture
L Pump Station	3	FM 2104 and Kiowa	Smithville	TX	78957	30.013892	-97.156138	0	2	Public OCA Chemical; Chlorine
Ponderosa Joint Powers Agency WWTP	3	17940 Butte Creek Drive	Houston	TX	77090	30.02791163	-95.47194536	0	2	Public OCA Chemical; Chlorine
Bridge City Wastewater Treatment Plant	2	220 Bower @Sewer Plant Road	Bridge City	TX	77611	30.029508	-93.839065	0	2	Public OCA Chemical; Chlorine
Treschwig Central Wastewater Treatment Plant	2	4414 Treschwig Rd	Spring	TX	77373	30.03599338	-95.36239769	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
City of Beaumont Water Reclamation Plant	2	4900 Lafin Road	Beaumont	TX	77705	30.03839388	-94.13329429	0	2	Public OCA Chemical; Chlorine
City of Kerrville - Wastewater Plant	2	3650 Loop 534	Kerrville	TX	78028	30.038845	-99.151308	0	2	Public OCA Chemical; Chlorine
K/D/S Promix LLC	3	6225 Hwy 996	Belle Rose	LA	70341	30.0417	-91.0674	0	2	Public OCA Chemical; Flammable Mixture
The Dow Chemical Company - Grand Bayou Operations	3	Highway 70 South	Belle Rose	LA	70341	30.0417	-91.0674	0	7	Public OCA Chemical; Butane; Propylene  [1-Propene]; Chlorine; Ethane; Ethylene  [Ethene]; Propane
"Air Products, New Orleans H2 Facility"	3	14700 Intracoastal Drive	New Orleans	LA	70129	30.046012	-89.902076	0	3	Public OCA Chemical; Hydrogen; Flammable Mixture
Air Products New Orleans Terminal	3	14701 Intracoastal Drive	New Orleans	LA	70129	30.046012	-89.902076	0	2	Public OCA Chemical; Hydrogen
City of Kerrville - Water Treatment Plant	2	1000 Thompson Drive	Kerrville	TX	78028	30.0476741	-99.1543584	0	2	Public OCA Chemical; Chlorine
"DuPont Performance Elastomers L.L.C., Pont. Site"	3	560 Highway 44	LaPlace	LA	70068	30.05152489	-90.52506333	0	5	"Public OCA Chemical; 1,3-Butadiene; Pentane; Nitrogen Tetroxide; Chlorine"
DuPont Pontchartrain Site	3	586 Highway 44	LaPlace	LA	70068	30.05171969	-90.52423216	0	2	Public OCA Chemical; Ammonia (anhydrous)
North Park Water Treatment Plant A	3	2310 North Park	Kingwood	TX	77339	30.0528	-95.22072	0	2	Public OCA Chemical; Chlorine
Rustic Wood Water Treatment Plant B	3	3822 Rustic Woods	Kingwood	TX	77339	30.0528	-95.22072	0	2	Public OCA Chemical; Chlorine
Mills Branch Water Treatment Plant C	3	8750 Mills Branch Dr.	Kingwood	TX	77339	30.0528	-95.22072	0	2	Public OCA Chemical; Chlorine
Ruddock Water Well	2	Exit 6 -  I-55	Ruddock	LA	70068	30.05496	-90.48054	0	2	Public OCA Chemical; Chlorine
Woodland Treatment Plant	2	900 Woodland Drive	LaPlace	LA	70068	30.05496	-90.48054	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
Lyons Water plant	2	2062 Hwy. 44	Reserve	LA	70084	30.05652951	-90.57758691	0	2	Public OCA Chemical; Chlorine
River Road Treatment Plant	2	144 Water Plant Rd off Hwy 44	LaPlace	LA	70068	30.06157441	-90.50259111	0	2	Public OCA Chemical; Chlorine
Motiva Enterprises LLC - Convent Refinery 2012	3	Hwy. 44 & 70 Intersection	Convent	LA	70723	30.064945	-90.835684	2	6	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Butane; Propylene  [1-Propene]; Flammable Mixture; Propane"
Occidental Chemical Corporation Convent Plant	3	7377 Highway 3214	Convent	LA	70723	30.064945	-90.835684	0	2	Public OCA Chemical; Chlorine
"Convent, Louisiana Hydrogen Facility"	3	10759 Convent Way Road	Convent	LA	70723	30.064945	-90.835684	1	2	Public OCA Chemical; Flammable Mixture
City of Liberty Wastewater Treatment Plant	2	FM 3361	Liberty	TX	77575	30.067839	-94.789652	0	2	Public OCA Chemical; Chlorine
"Air Products, Reserve, LA"	3	474 West 19th Street	Reserve	LA	70084	30.06943291	-90.57831964	0	3	"Public OCA Chemical; Propylene oxide  [Oxirane, methyl-]; Ethylene oxide  [Oxirane]"
ExxonMobil Beaumont Chemical Plant (BMCP)	3	2775 Gulf States Road	Beaumont	TX	77701	30.071367	-94.103219	0	5	"Public OCA Chemical; Propylene  [1-Propene]; Flammable Mixture; Boron trifluoride  [Borane, trifluoro-]; Chlorine"
ExxonMobil Beaumont Refinery (BMRF)	3	1795 Burt Street	Beaumont	TX	77701	30.071367	-94.103219	0	12	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Butane; Pentane; Propylene  [1-Propene]; Flammable Mixture; Ammonia (anhydrous); Chlorine; Hydrogen sulfide; Methane; Propane"
Hempstead Simplot Grower Solution	2	1275 Zach Road	Hempstead	TX	77445	30.07212	-96.08124	0	2	Public OCA Chemical; Ammonia (anhydrous)
Neches Terminal	3	No. 1 Gulf States Road	Beaumont	TX	77704	30.072586	-94.103117	1	2	Public OCA Chemical; Ammonia (anhydrous)
Arkema Inc. - Beaumont Plant	3	2810 Gulf States Road	Beaumont	TX	77704	30.072586	-94.103117	1	7	Public OCA Chemical; Ethyl mercaptan [Ethanethiol]; Acrolein  [2-Propenal]; Hydrogen sulfide; Methyl mercaptan  [Methanethiol]; Carbon disulfide; Propane
"DPC ENTERPRISES, L.P."	3	620 WEST 10th AVENUE	RESERVE	LA	70084	30.07327306	-90.56443114	1	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
Chevron Phillips Chemical Company: Orange Plant	3	5309 Farm Market Road 1006	Orange	TX	77630	30.081944	-93.758056	0	5	"Public OCA Chemical; Isobutane  [Propane, 2-methyl]; Isopentane  [Butane, 2-methyl-]; Ethylene  [Ethene]; Propane"
DuPont Sabine River Works	3	3055 FM1006	Orange	TX	77630	30.081944	-93.758056	1	7	Public OCA Chemical; Propylene  [1-Propene]; Flammable Mixture; Vinyl acetate monomer  [Acetic acid ethenyl ester]; Ethane; Ethylene  [Ethene]; Propane
"Honeywell, Inc.,formerly AlliedSignal"	3	Farm Road 1006	Orange	TX	77630	30.081944	-93.758056	0	3	Public OCA Chemical; Vinyl acetate monomer  [Acetic acid ethenyl ester]; Ethylene  [Ethene]
"LANXESS Corporation, Orange, Texas"	3	4647 FM 1006	Orange	TX	77630	30.081944	-93.758056	0	8	"Public OCA Chemical; Butane; 1-Butene; 1,3-Butadiene; Propylene  [1-Propene]; Ammonia (anhydrous); Chlorine; Ethylene  [Ethene]"
"Firestone Polymers, LLC"	3	5713 FM RD 1006	Orange	TX	77630	30.081944	-93.758056	0	3	"Public OCA Chemical; 1,3-Butadiene; Flammable Mixture"
"Solvay Solexis, Inc. - Orange Facility"	3	4059 FM 1006	Orange	TX	77630	30.081944	-93.758056	0	2	"Public OCA Chemical; Trifluorochloroethylene [Ethene, chlorotrifluoro-]"
"SRW Cogeneration, L.P."	2	2739 FM 1006 DuPont Drive	Orange	TX	77630	30.081944	-93.758056	0	2	Public OCA Chemical; Ammonia (conc 20% or greater)
INVISTA - Orange Site	3	3055A	Orange	TX	77630	30.081944	-93.758056	1	6	"Public OCA Chemical; 1,3-Butadiene; Ammonia (anhydrous); Ammonia (conc 20% or greater); Hydrocyanic acid; Chlorine"
"Pure-Chem, Inc."	3	5145 Satterwhite Road	Buda	TX	78610	30.082691	-97.843934	0	2	Public OCA Chemical; Chlorine
Buda Wastewater Treatment Plant	2	575 County Road 236	Buda	TX	78610	30.082691	-97.843934	0	2	Public OCA Chemical; Chlorine
Lowry Plant	3	810 Lowry Highway	Lake Arthur	LA	70549	30.084531	-92.676676	0	2	Public OCA Chemical; Flammable Mixture
CF Industries Donaldsonville Nitrogen Complex	3	39018 Highway 3089	Donaldsonville	LA	70346	30.09099505	-90.95871651	2	6	Public OCA Chemical; Hydrogen; Ammonia (anhydrous); Ammonia (conc 20% or greater); Chlorine; Methane
City of Beaumont Water Production Plant	2	1550 Pine Street	Beaumont	TX	77703	30.09684978	-94.10039442	0	2	Public OCA Chemical; Chlorine
Link Avenue Water Production Plant	2	1301 Link Avenue	Orange	TX	77630	30.1068183	-93.74244899	0	2	Public OCA Chemical; Chlorine
Guillory No. 1 Tank Battery	2	8234 Nelson Road	Lake Charles	LA	70605	30.10711888	-93.2489214	0	2	Public OCA Chemical; Butane
"Buckeye Florida, Limited Partnership"	3	One Buckeye Drive	Perry	FL	32348	30.110251	-83.579791	4	4	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine; Chlorine dioxide  [Chlorine oxide (ClO2)]
City of Perry Wastewater Treatment Facility	3	507 W. Goff St.	Perry	FL	32347	30.1111256	-83.59752082	0	2	Public OCA Chemical; Chlorine
Camp Swift Pump Station	3	Persian Drive at Coolwater	Bastrop	TX	78602	30.1158	-97.27464	0	2	Public OCA Chemical; Chlorine
S Pump Station	3	FM 304 & CR 82	Bastrop	TX	78602	30.1158	-97.27464	0	2	Public OCA Chemical; Chlorine
Lost Pines 1 Power Plant	2	256 Power Plant Road	Bastrop	TX	78602	30.1158	-97.27464	0	2	Public OCA Chemical; Ammonia (anhydrous)
Perry Water Works Water Treatment Plant	3	400 W. Leon Street	Perry	FL	32347	30.11968021	-83.58488439	0	2	Public OCA Chemical; Chlorine
Mason H. Kelley Water Treatment Plant	3	713 N. Faulkner Street	Perry	FL	32347	30.12227032	-83.58495021	0	2	Public OCA Chemical; Chlorine
Calcasieu Refining Company	3	4359 West Tank Farm Road	Lake Charles	LA	70605	30.12445473	-93.31084113	0	2	Public OCA Chemical; Flammable Mixture
"Nalco Company - Garyville, LA facility"	3	3628 Hwy 44	Garyville	LA	70051	30.124963	-90.609115	0	6	"Public OCA Chemical; Formaldehyde (solution); Dimethylamine  [Methanamine, N-methyl-]; Epichlorohydrin  [Oxirane, (chloromethyl)-]; Acrylonitrile  [2-Propenenitrile]; Ammonia (anhydrous)"
"Pinnacle Polymers, LLC"	3	One Pinnacle Avenue	Garyville	LA	70051	30.124963	-90.609115	0	2	Public OCA Chemical; Propylene  [1-Propene]
Marathon Petroleum Company LP LARefiningDivision	3	Highway 61 @ Marathon Avenue	Garyville	LA	70051	30.124963	-90.609115	1	5	Public OCA Chemical; Butane; Propylene  [1-Propene]; Flammable Mixture; Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
"Garyville, LA SMR"	3	4663 Airline Highway W.	Garyville	LA	70051	30.124963	-90.609115	0	2	Public OCA Chemical; Flammable Mixture
Mere No. 1 Production Facility	2	"8 miles south of Sulphur, LA"	Sulphur	LA	70605	30.12564	-93.20268	0	4	Public OCA Chemical; Butane; Pentane; Ethane
DUPONT BURNSIDE PLANT	3	3460 HIGHWAY 44	DARROW	LA	70725	30.133676	-90.966684	0	3	"Public OCA Chemical; Sulfur trioxide; Oleum (Fuming Sulfuric acid)  [Sulfuric acid, mixture with sulfur trioxide]"
San Jacinto River Authority WW Plant 1 - Cl2 & SO2	2	2436 Sawdust Road	The Woodlands	TX	77380	30.13467507	-95.47520493	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
Sour Lake Storage Facility	3	500 North Merchant Street	Sour Lake	TX	77659	30.13592613	-94.41347057	0	2	Public OCA Chemical; Flammable Mixture
The Village of Parks Water Treatment Plant	2	Corner of Martin St. & Bridge St.	Parks	LA	70582	30.139877	-91.822998	0	2	Public OCA Chemical; Chlorine
City of St. Martinville Wastewater	2	1807 Terrace Highway	St. Martinville	LA	70582	30.139877	-91.822998	0	2	Public OCA Chemical; Chlorine
San Jacinto River Authority Water Plant 3	2	6698 Alden Bridge Road	The Woodlands	TX	77380	30.140487	-95.471451	0	2	Public OCA Chemical; Chlorine
San Jacinto River Authority - Water Plant 1	2	11439 Slash Pine	The Woodlands	TX	77380	30.140487	-95.471451	0	2	Public OCA Chemical; Chlorine
Meeks Drive Water Production Plant	2	5800 Meeks Drive	Orange	TX	77632	30.14417154	-93.75675161	0	2	Public OCA Chemical; Chlorine
"Rock-Tenn CP,LLC"	3	One Everitt Avenue	Panama City	FL	32401	30.1456191	-85.62110758	0	3	Public OCA Chemical; Chlorine; Chlorine dioxide  [Chlorine oxide (ClO2)]
